tanggal;komoditi;jutaUSD
2019-01-31;Hasil Minyak;4.38
2019-01-31;Pakaian Jadi Bukan Rajutan;204.16
2019-01-31;Barang-barang Rajutan;81.05
2019-01-31;Kayu - Barang dari Kayu;81.07
2019-01-31;Perabot Peneragangan Rumah;62.48
2019-01-31;Alas Kaki;62.92
2019-01-31;Serat Stafel Buatan;32.61
2019-01-31;Barang-barang dari Kulit ;23.68
2019-01-31;Mesin/Peralatan Listrik;33.51
2019-01-31;Mesin-mesin/Pesawat Mekanik;16.86
2019-01-31;Bulu Unggas ;16.21
2019-02-28;Hasil Minyak;4.97
2019-02-28;Pakaian Jadi Bukan Rajutan;374.61
2019-02-28;Barang-barang Rajutan;151.45
2019-02-28;Kayu - Barang dari Kayu;152.48
2019-02-28;Perabot Peneragangan Rumah;118.87
2019-02-28;Alas Kaki;90.17
2019-02-28;Serat Stafel Buatan;56.59
2019-02-28;Barang-barang dari Kulit ;51.96
2019-02-28;Mesin/Peralatan Listrik;53.45
2019-02-28;Mesin-mesin/Pesawat Mekanik;20.54
2019-02-28;Bulu Unggas ;30.73
2019-03-31;Hasil Minyak;12.14
2019-03-31;Pakaian Jadi Bukan Rajutan;546.04
2019-03-31;Barang-barang Rajutan;230.39
2019-03-31;Kayu - Barang dari Kayu;223.01
2019-03-31;Perabot Peneragangan Rumah;181.01
2019-03-31;Alas Kaki;144.06
2019-03-31;Serat Stafel Buatan;99.10
2019-03-31;Barang-barang dari Kulit ;82.56
2019-03-31;Mesin/Peralatan Listrik;79.41
2019-03-31;Mesin-mesin/Pesawat Mekanik;35.35
2019-03-31;Bulu Unggas ;47.42
2019-04-30;Hasil Minyak;21.78
2019-04-30;Pakaian Jadi Bukan Rajutan;695.32
2019-04-30;Barang-barang Rajutan;306.96
2019-04-30;Kayu - Barang dari Kayu;289.61
2019-04-30;Perabot Peneragangan Rumah;239.97
2019-04-30;Alas Kaki;199.36
2019-04-30;Serat Stafel Buatan;147.77
2019-04-30;Barang-barang dari Kulit ;114.17
2019-04-30;Mesin/Peralatan Listrik;111.96
2019-04-30;Mesin-mesin/Pesawat Mekanik;53.51
2019-04-30;Bulu Unggas ;63.24
2019-05-31;Hasil Minyak;23.41
2019-05-31;Pakaian Jadi Bukan Rajutan;878.64
2019-05-31;Barang-barang Rajutan;392.71
2019-05-31;Kayu - Barang dari Kayu;379.29
2019-05-31;Perabot Peneragangan Rumah;310.67
2019-05-31;Alas Kaki;153.96
2019-05-31;Serat Stafel Buatan;188.90
2019-05-31;Barang-barang dari Kulit ;149.48
2019-05-31;Mesin/Peralatan Listrik;140.31
2019-05-31;Mesin-mesin/Pesawat Mekanik;70.40
